id	AnimalID	Timepoint	Diet	Treatment	Treament-Descr	Timepoint-Descr
M001	5F	8	GOS	FMT-control	GOS+FMT-control	PostFMTD1
M002	3D	22	GOS	Consortium	GOS+Consortium	PostC.diffDay1-PreFMT3
M003	3F	22	GOS	FMT-control	GOS+FMT-control	PostC.diffDay1-PreFMT3
M004	3B	13	GOS	Control	GOS	PostFMTD6
M005	4D	12	GOS	Consortium	GOS+Consortium	PostFMTD5
M006	6C	26	Control	Consortium	Control+Consortium	PostC.diffDay5
M007	3A	26	Control	Control	Control	PostC.diffDay5
M008	5D	30	GOS	Consortium	GOS+Consortium	PostC.diffDay9
M009	6C	0	Control	Consortium	Control+Consortium	PostStandardization
M010	4H	13	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD6
M011	5C	29	Control	Consortium	Control+Consortium	PostC.diffDay8
M012	4H	31	GOS	FMT-GOS	GOS+FMT-GOS	EndpointColonContent
M013	4H	8	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD1
M014	3C	26	Control	Consortium	Control+Consortium	PostC.diffDay5
M015	5F	28	GOS	FMT-control	GOS+FMT-control	PostC.diffDay7
M016	7D	13	GOS	Consortium	GOS+Consortium	PostFMTD6
M017	1A	29	Control	Control	Control	PostC.diffDay8
M018	3C	30	Control	Consortium	Control+Consortium	PostC.diffDay9
M019	1A	14	Control	Control	Control	PostFMTD7-PreAntibiotics
M020	2E	23	Control	FMT-control	Control+FMT-control	PostC.diffDay2
M021	1D	13	GOS	Consortium	GOS+Consortium	PostFMTD6
M022	3E	27	Control	FMT-control	Control+FMT-control	PostC.diffDay6
M023	4D	27	GOS	Consortium	GOS+Consortium	PostC.diffDay6
M024	4D	9	GOS	Consortium	GOS+Consortium	PostFMTD2
M025	1B	21	GOS	Control	GOS	PreC.diff-PostFMT2
M026	6D	8	GOS	Consortium	GOS+Consortium	PostFMTD1
M027	1A	31	Control	Control	Control	EndpointColonContent
M028	3G	7	Control	FMT-GOS	Control+FMT-GOS	PreFMT
M029	1H	28	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay7
M030	3C	27	Control	Consortium	Control+Consortium	PostC.diffDay6
M031	3G	14	Control	FMT-GOS	Control+FMT-GOS	PostFMTD7-PreAntibiotics
M032	2C	29	Control	Consortium	Control+Consortium	PostC.diffDay8
M033	1D	9	GOS	Consortium	GOS+Consortium	PostFMTD2
M034	6H	12	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD5
M035	4D	13	GOS	Consortium	GOS+Consortium	PostFMTD6
